id,L,M,S,XL,XS,XXL,XXXL
619,5,0,1,1,7,0,15
620,7,27,22,3,24,5,6
621,18,11,25,14,0,22,4
622,9,11,19,9,20,27,15
623,20,25,20,17,12,13,10
624,6,17,1,26,22,1,2
625,24,22,12,18,7,9,15
626,0,24,21,4,6,19,15
627,24,2,3,16,8,6,10
628,5,15,27,28,3,9,21
629,9,25,27,9,28,7,27
630,28,0,4,2,14,26,21
631,8,13,10,13,15,25,3
632,5,13,26,20,23,27,21
633,23,23,7,28,17,3,19
634,18,23,17,13,28,1,15
635,19,4,11,23,13,17,6
636,20,21,28,6,24,3,23
637,15,15,16,14,17,26,22
638,6,3,23,0,24,13,0
639,4,6,21,26,7,19,14
640,23,10,19,21,19,9,11
641,24,0,21,18,16,0,27
642,7,15,26,19,19,6,4
643,22,5,14,8,12,6,28
644,1,25,24,6,5,26,7
645,14,24,4,10,8,9,4
646,2,11,0,4,15,23,21
647,12,9,23,17,19,11,11
648,19,20,26,19,20,4,9
649,24,20,17,15,3,6,12
650,19,5,19,24,7,25,18
651,15,2,9,11,20,10,2
652,15,15,16,8,10,17,8
653,2,1,16,16,26,2,11
654,25,6,17,2,10,12,5
655,23,21,27,0,10,2,13
656,20,6,14,25,13,23,23
657,10,7,19,3,4,25,13
658,11,27,9,3,6,6,28
659,21,24,22,13,22,4,9
660,5,19,10,22,10,1,0
661,16,16,4,17,17,18,2
662,13,10,7,24,5,12,23
663,27,12,13,23,1,6,7
664,19,15,9,13,16,16,26
665,5,10,6,9,17,2,27
666,23,0,23,3,17,14,16
667,21,16,7,24,7,19,12
668,2,25,23,9,13,12,23
669,1,5,1,14,25,18,7
670,22,7,10,25,26,1,27
671,4,8,11,5,27,27,22
672,27,2,4,28,21,11,19
673,8,21,9,21,9,13,12
674,9,20,9,20,9,21,19
675,5,27,10,0,21,26,2
676,28,0,12,1,12,16,25
677,6,4,3,26,6,1,22
678,0,24,22,26,24,24,3
679,27,15,9,11,8,27,5
680,3,7,6,11,9,8,12
681,12,15,27,24,8,14,18
682,18,16,23,1,19,13,4
683,4,27,12,7,1,28,18
684,14,4,8,15,19,0,4
685,28,11,25,12,6,8,12
686,19,18,27,14,12,3,15
687,2,3,22,19,23,3,3
688,19,13,16,28,13,3,16
689,16,28,4,23,26,19,14
690,21,23,3,17,15,14,18
691,6,8,27,21,13,24,14
692,19,7,1,7,1,21,9
693,19,25,25,11,15,3,0
694,26,3,16,4,28,15,19
695,17,14,14,22,0,20,22
696,5,13,23,7,28,6,18
697,22,20,2,26,8,17,16
698,23,22,14,22,12,12,18
699,11,27,22,4,18,6,10
700,14,5,23,5,2,20,18
701,11,16,5,12,9,11,23
702,2,25,3,17,23,16,25
703,23,21,17,11,3,13,1
704,18,5,19,9,15,24,27
705,24,2,3,1,7,10,11
706,12,19,14,13,26,9,8
707,12,27,8,2,7,16,28
708,16,21,23,22,17,3,20
709,12,7,4,0,27,20,22
710,0,11,4,2,25,14,1
711,13,27,16,19,0,27,8
712,25,11,17,10,4,24,25
713,24,2,15,5,2,17,26
714,25,8,28,6,14,27,25
715,13,8,27,7,4,9,23
716,10,16,2,9,28,8,15
717,2,23,21,3,7,5,25
718,8,6,10,24,24,23,19
719,28,4,10,20,12,13,27
720,17,24,12,27,3,21,17
721,23,2,22,11,9,14,2
722,15,22,23,17,6,8,28
723,20,27,15,0,23,17,1
724,6,15,28,15,22,6,11
725,23,20,13,4,16,1,16
726,2,23,28,9,2,20,23
727,9,7,20,25,12,16,0
728,23,26,8,12,27,24,15
729,21,10,6,24,4,19,8
730,14,7,1,9,5,27,26
731,3,25,6,4,24,0,22
732,12,3,6,2,7,23,28
733,11,3,10,5,2,14,5
734,8,5,14,6,12,10,7
735,14,21,4,23,6,25,27
736,4,26,4,11,21,5,26
737,15,5,7,26,22,1,11
738,4,4,24,24,1,21,22
739,13,20,12,15,22,8,28
740,3,20,17,16,3,19,17
741,16,6,3,4,19,16,18
742,23,20,22,19,17,23,19
743,14,10,14,26,11,7,4
744,23,26,5,28,27,0,26
745,28,26,23,9,3,22,23
746,26,4,19,5,11,9,2
747,17,5,24,13,3,6,7
748,23,27,9,17,22,23,11
749,18,12,8,23,13,2,5
750,17,6,24,1,25,16,14
751,8,15,24,9,7,1,8
752,1,15,1,0,12,0,3
753,5,20,23,21,19,23,6
754,0,8,26,28,14,25,15
755,11,8,7,5,15,26,9
756,26,26,21,5,7,19,16
757,0,15,27,21,2,23,14
758,24,1,11,8,10,27,1
759,6,7,1,9,15,16,17
760,23,20,6,20,10,28,22
761,14,26,17,25,6,11,17
762,13,10,14,23,12,21,14
763,26,4,15,4,2,21,4
764,14,22,17,20,20,25,12
765,23,2,14,19,12,12,12
766,22,8,21,17,20,22,8
767,21,10,20,25,9,20,25
768,0,26,12,13,26,27,2
769,27,22,22,0,14,1,22
770,8,3,20,11,21,21,8
771,22,3,21,0,24,5,28
772,24,16,3,14,20,27,21
773,27,18,20,27,7,21,22
774,16,12,6,3,26,11,7
775,20,4,7,26,8,27,0
776,19,17,26,25,24,28,27
777,18,15,17,20,17,21,10
778,16,26,20,17,10,2,1
779,28,1,22,14,21,11,11
780,6,8,9,24,24,16,25
781,26,28,23,11,11,19,7
782,21,26,5,15,1,27,0
783,12,4,11,6,23,21,7
784,19,18,22,6,18,2,9
785,1,27,13,22,23,14,13
786,27,19,22,26,16,10,24
787,4,9,25,5,16,22,9
788,21,0,10,12,23,23,4
789,1,20,25,16,8,1,26
790,15,11,18,19,5,13,25
791,7,13,26,6,5,19,26
792,28,19,14,22,18,13,13
793,7,26,27,18,10,27,20
794,15,24,8,16,0,21,24
795,24,1,2,26,23,10,25
796,15,7,10,23,13,15,16
797,2,27,2,17,10,2,25
798,13,10,18,13,11,26,28
799,25,4,9,26,4,21,3
800,25,13,14,13,19,8,2
801,14,0,21,9,15,20,2
802,3,28,13,7,4,21,25
803,1,3,12,13,22,17,12
804,13,22,15,7,21,4,17
805,8,18,0,27,19,11,15
806,27,22,20,5,17,22,10
807,0,14,15,6,20,18,16
808,13,15,18,10,1,0,15
809,14,1,28,2,26,25,16
810,28,1,20,27,18,6,22
811,22,27,17,1,27,1,4
812,23,13,14,17,26,10,11
813,25,2,19,28,17,27,4
814,7,11,28,5,3,3,7
815,23,24,0,1,27,7,22
816,11,20,18,6,15,12,20
817,25,16,16,4,26,23,16
818,20,12,25,26,16,22,19
819,9,12,9,19,6,14,7
820,6,10,18,12,4,5,14
821,7,6,20,14,21,18,6
822,13,19,5,4,17,19,1
823,25,19,19,18,0,15,24
824,12,1,5,4,18,10,11
825,26,21,7,21,16,9,19
826,3,25,17,20,22,25,18
827,16,28,23,4,14,22,0
828,2,2,25,21,26,8,3
829,10,13,1,4,1,24,8
830,5,0,25,20,13,21,25
831,12,6,2,3,22,1,16
832,27,10,22,4,23,28,17
833,14,21,10,21,22,2,23
834,16,22,22,2,24,23,12
835,12,7,15,25,16,28,28
836,17,15,10,5,6,14,16
837,6,27,9,27,24,17,17
838,27,27,16,18,28,21,23
839,3,20,24,2,4,15,6
840,11,23,27,13,14,16,13
841,7,19,28,26,2,25,9
842,26,27,2,5,27,27,18
843,7,13,3,15,22,27,6
844,4,11,19,7,23,15,12
845,17,12,25,26,2,17,4
846,9,18,8,28,0,20,1
847,11,1,20,18,28,21,12
848,1,21,12,14,22,2,11
849,19,16,0,19,9,27,11
850,5,2,10,0,18,6,7
851,2,7,9,26,19,4,4
852,18,2,17,2,3,16,12
853,17,11,17,1,14,21,28
854,5,4,11,19,25,13,15
855,27,28,15,2,4,21,21
856,18,6,20,5,6,19,26
857,0,17,27,26,13,4,12
858,6,7,25,28,10,23,6
859,18,28,10,18,25,27,10
860,5,22,15,1,1,17,27
861,1,1,1,1,2,18,25
862,1,16,16,10,5,18,22
863,9,8,11,11,28,6,20
864,27,25,22,10,18,17,3
865,27,10,15,1,12,13,12
866,18,12,2,0,11,17,5
867,2,6,14,23,7,1,13
868,9,8,19,12,27,18,9
869,21,8,12,24,14,16,8
870,0,18,15,3,26,24,3
871,23,8,16,18,27,17,3
872,2,21,15,12,18,18,28
873,23,9,4,25,13,17,0
874,0,22,14,9,5,27,19
875,27,15,21,5,28,6,17
876,28,17,2,15,12,19,12
877,27,14,24,1,11,4,20
878,28,12,4,15,18,0,8
879,20,5,26,12,10,15,22
880,15,21,17,12,25,5,18
881,8,19,20,8,19,4,28
882,7,20,26,0,27,8,19
883,6,27,26,2,8,10,1
884,28,25,27,4,23,4,14
885,5,7,20,10,15,1,16
886,7,17,16,0,24,8,17
887,15,23,16,11,1,18,7
888,23,12,24,26,27,23,3
889,9,14,21,4,16,26,3
890,19,1,6,25,4,10,24
891,26,20,5,23,23,19,4
892,23,2,3,19,17,5,2
893,16,15,23,13,26,15,19
894,18,14,19,9,8,28,22
895,11,23,18,11,11,25,7
896,17,23,27,5,10,22,3
897,19,0,5,11,27,12,6
898,20,19,17,8,16,9,6
899,24,21,1,28,13,2,8
900,8,14,19,5,28,11,14
901,23,5,25,28,0,13,0
902,8,22,13,10,2,10,10
903,8,8,18,19,14,7,9
904,2,20,18,27,7,5,3
905,23,5,20,15,22,8,21
906,9,25,27,20,1,6,15
907,24,19,19,8,0,22,0
908,16,0,16,19,9,1,25
909,28,13,17,4,8,10,26
910,23,7,7,8,17,23,12
911,7,24,26,16,12,11,14
912,20,0,10,25,10,24,4
913,12,3,17,27,25,11,8
914,22,8,23,5,0,22,20
915,10,24,14,4,14,28,9
916,1,13,4,1,12,18,14
917,10,13,9,15,22,14,4
918,9,6,24,20,5,28,13
919,8,9,14,27,17,12,28
920,2,13,17,28,6,26,16
921,19,16,2,16,12,17,23
922,21,16,2,0,15,24,24
923,22,10,5,11,5,5,12
924,5,18,21,28,21,22,25
925,20,13,0,28,6,10,5
926,7,4,13,1,25,11,20
927,23,7,6,18,1,3,23
928,7,3,19,27,18,11,25
929,22,14,28,22,2,14,25
930,19,22,13,27,21,10,7
931,9,3,0,2,4,18,10
932,5,18,24,8,26,17,21
933,19,23,9,17,20,6,12
934,25,10,4,28,28,13,21
935,1,27,12,14,10,24,27
936,19,24,13,27,13,21,26
937,12,17,16,28,2,0,15
938,28,3,7,6,7,11,19
939,27,6,1,9,14,18,15
940,23,18,25,1,6,13,27
941,10,3,23,5,28,25,22
942,20,16,14,2,21,8,7
943,9,16,27,0,23,9,20
944,15,22,25,14,27,12,4
945,28,14,15,28,8,25,13
946,9,14,15,18,4,1,9
947,23,22,28,1,0,11,21
948,9,9,27,28,16,7,28
949,26,25,16,19,15,22,15
950,24,10,1,1,1,26,17
951,21,0,0,19,21,2,17
952,25,12,7,27,18,3,24
953,12,18,19,12,18,10,23
954,22,16,11,22,4,19,2
955,13,8,20,5,9,9,9
956,5,18,4,11,21,14,15
957,22,21,8,10,1,28,27
958,25,17,26,19,15,24,7
959,21,12,18,5,7,26,12
960,12,26,13,16,14,11,3
961,9,1,3,12,24,7,18
962,22,1,6,12,28,1,1
963,28,11,0,19,11,21,15
964,2,23,17,12,13,20,28
965,7,23,19,24,2,19,10
966,28,18,28,13,2,23,24
967,0,3,4,8,6,4,5
968,6,21,10,13,16,11,9
969,17,25,17,8,13,18,0
970,20,27,23,15,12,18,12
971,7,16,5,25,15,16,10
972,13,23,7,14,4,1,20
973,11,27,22,8,0,4,4
974,10,0,16,0,15,22,11
975,24,14,14,17,6,26,2
976,2,17,2,27,9,2,13
977,26,28,7,20,9,9,21
978,24,28,16,14,16,7,19
979,9,16,13,26,17,15,4
980,8,17,25,28,28,8,3
981,0,1,3,17,23,17,27
982,12,6,22,0,14,22,13
983,3,12,5,3,27,20,14
984,8,18,6,19,24,9,12
985,16,27,23,7,19,3,9
986,13,2,17,13,9,9,3
987,23,3,10,11,19,21,0
988,21,20,0,0,10,15,23
989,7,20,15,12,15,7,7
990,4,21,17,5,26,13,18
991,25,13,3,8,19,11,17
992,14,13,18,20,14,17,5
993,8,20,9,25,23,15,0
994,6,17,5,18,1,20,20
995,25,10,10,10,10,16,7
996,6,22,16,18,3,23,0
997,21,5,3,5,18,20,21
998,5,21,12,8,4,5,9
999,28,5,2,12,18,10,10
1000,4,9,18,4,11,5,12
1,19,0,20,24,0,20,18
2,18,24,3,18,0,18,25
3,24,7,25,14,19,1,2
4,17,17,12,2,14,23,3
5,19,16,19,12,11,27,14
6,12,15,28,2,17,6,8
7,27,28,9,4,20,7,21
8,4,5,26,25,20,8,0
9,20,5,17,15,2,15,7
10,1,21,18,11,12,25,24
11,11,17,19,23,25,21,18
12,13,22,8,2,6,28,17
13,5,2,0,2,7,14,26
14,12,8,0,0,9,13,27
15,6,4,0,24,2,25,24
16,23,16,8,15,27,12,17
17,6,23,23,14,17,5,8
18,27,5,13,27,27,14,12
19,9,10,8,10,27,3,22
20,3,19,15,0,7,9,5
21,3,20,5,24,16,17,5
22,14,8,19,13,25,17,1
23,15,3,2,16,28,11,24
24,8,27,1,26,12,7,3
25,22,6,17,25,18,18,13
26,27,7,25,17,11,1,0
27,16,0,25,3,25,16,19
28,5,17,14,8,22,5,9
29,11,4,10,24,15,2,6
30,21,15,17,20,17,4,1
31,19,20,15,25,16,28,26
32,11,22,3,1,6,21,0
33,21,18,12,11,6,17,23
34,5,20,17,8,25,9,27
35,10,10,11,9,10,8,1
36,5,13,5,24,14,16,26
37,26,5,19,24,9,5,22
38,6,13,14,0,14,8,23
39,18,28,5,16,6,28,9
40,24,9,21,9,16,8,10
41,14,25,10,19,25,19,25
42,9,5,4,14,15,15,27
43,3,15,6,19,16,17,3
44,17,19,9,0,28,21,4
45,16,14,17,14,10,26,5
46,14,4,7,20,2,22,22
47,17,15,10,28,20,19,28
48,25,7,22,16,28,19,19
49,11,18,27,21,8,2,22
50,1,14,26,9,23,28,11
51,26,19,16,27,11,0,3
52,7,17,20,28,22,3,8
53,4,18,17,3,18,27,2
54,22,20,3,23,9,23,16
55,27,23,12,26,26,27,7
56,4,6,7,6,4,20,24
57,21,25,26,25,18,18,26
58,27,12,23,10,28,26,17
59,25,5,20,5,6,14,9
60,10,25,8,9,24,20,11
61,21,10,5,24,24,4,26
62,4,8,12,28,15,20,15
63,6,0,1,13,13,4,12
64,15,0,4,10,26,3,8
65,18,21,16,23,14,9,5
66,24,21,26,15,12,21,5
67,7,17,18,12,6,28,16
68,23,23,14,12,22,3,5
69,11,22,25,2,20,15,26
70,21,6,15,12,16,25,13
71,27,0,6,15,14,13,22
72,24,7,3,18,8,14,1
73,10,28,25,15,8,17,12
74,15,25,14,20,27,16,27
75,4,17,0,19,27,17,14
76,27,18,6,7,1,0,0
77,7,21,5,24,22,13,17
78,11,4,2,25,4,27,18
79,20,6,22,2,3,16,8
80,22,25,20,25,10,2,27
81,16,19,11,25,17,11,14
82,6,23,3,21,16,22,4
83,1,7,14,9,24,10,8
84,21,17,25,16,21,26,15
85,5,25,26,15,25,0,18
86,16,0,18,21,28,6,1
87,10,21,9,21,11,15,9
88,24,20,6,4,9,10,17
89,12,13,19,3,19,12,5
90,12,13,4,26,0,21,1
91,0,27,18,26,18,13,26
92,20,10,0,17,14,2,0
93,17,1,21,28,21,2,23
94,7,4,28,17,1,3,14
95,17,25,12,16,12,19,13
96,23,17,1,26,13,23,13
97,16,1,27,11,17,4,11
98,26,11,18,11,9,0,21
99,3,19,26,11,18,12,9
100,9,12,3,11,4,17,22
101,27,13,26,0,27,28,26
102,18,6,15,20,3,21,11
103,17,2,8,15,26,5,16
104,11,10,0,0,25,11,6
105,3,24,24,16,4,19,20
106,7,11,7,3,21,0,5
107,16,9,1,11,25,13,0
108,23,9,19,7,26,27,5
109,16,2,14,19,4,15,7
110,10,14,4,19,10,25,22
111,15,6,0,21,24,6,7
112,10,19,9,25,26,4,13
113,3,25,7,28,9,21,22
114,10,27,23,26,13,18,12
115,2,3,27,15,19,3,8
116,21,28,18,27,8,25,2
117,1,4,23,2,26,12,25
118,12,10,6,3,13,11,12
119,8,10,7,20,5,3,18
120,25,24,23,21,26,3,19
121,10,8,9,23,8,15,2
122,6,28,18,23,23,17,5
123,25,20,11,18,6,3,19
124,15,12,28,19,9,16,11
125,7,28,15,0,22,11,17
126,25,13,26,14,1,0,16
127,27,28,0,8,24,5,25
128,12,20,7,0,2,0,12
129,20,16,1,23,25,5,23
130,3,21,25,22,12,10,28
131,27,11,7,18,4,26,5
132,12,28,8,21,17,1,1
133,28,10,19,26,17,18,8
134,21,22,23,16,25,6,6
135,13,22,7,3,25,8,1
136,23,12,26,20,0,27,1
137,0,12,22,7,19,15,7
138,3,11,27,18,19,21,11
139,8,16,10,0,0,23,26
140,16,21,7,24,2,5,28
141,19,25,17,28,3,13,17
142,28,21,1,8,23,6,18
143,15,9,5,14,9,5,13
144,17,14,17,25,8,11,26
145,4,6,27,20,4,2,0
146,21,9,25,19,15,18,2
147,15,21,18,26,21,26,10
148,9,8,2,8,23,19,11
149,3,3,13,3,28,12,15
150,6,5,22,3,21,13,26
151,9,28,15,5,17,14,27
152,15,7,19,10,3,6,20
153,3,17,5,22,21,14,2
154,19,9,27,21,2,22,18
155,8,5,22,16,15,2,1
156,10,6,14,10,20,12,1
157,20,22,13,6,4,18,0
158,4,16,26,4,10,1,9
159,9,3,27,3,24,15,23
160,19,4,19,3,23,19,10
161,1,12,21,7,0,20,21
162,28,19,15,3,20,26,19
163,5,7,24,28,24,6,19
164,9,11,0,7,20,1,15
165,26,12,4,7,14,3,3
166,22,14,0,2,2,5,22
167,2,9,3,0,21,11,11
168,15,9,9,26,9,25,24
169,22,11,7,23,28,20,23
170,7,12,25,7,5,13,6
171,18,15,17,22,24,3,23
172,17,0,23,16,28,14,17
173,0,13,0,10,0,12,13
174,13,2,16,27,4,9,4
175,1,28,13,6,2,0,21
176,19,1,2,14,21,10,18
177,9,20,10,10,22,8,23
178,0,25,11,3,28,2,3
179,25,16,25,20,17,25,19
180,23,13,11,8,20,18,16
181,0,17,6,11,28,17,25
182,17,23,28,25,10,28,8
183,10,4,5,24,15,20,8
184,12,0,27,1,5,2,8
185,0,1,23,3,28,19,5
186,2,16,15,23,0,13,21
187,2,27,0,26,20,11,20
188,3,11,1,28,24,17,12
189,9,20,20,24,18,5,5
190,20,13,0,23,5,19,12
191,11,11,3,3,26,20,24
192,11,22,19,12,25,21,21
193,26,8,20,2,22,17,27
194,28,19,14,8,8,17,12
195,20,26,9,22,17,13,21
196,25,27,15,3,27,22,1
197,3,21,18,12,12,2,20
198,7,25,28,25,12,16,19
199,20,18,24,14,25,3,6
200,14,19,21,1,16,6,25
201,19,1,26,27,3,24,26
202,4,2,24,6,7,26,22
203,11,27,8,16,8,2,20
204,23,21,19,12,9,22,4
205,21,24,22,26,22,17,16
206,7,4,9,4,11,25,12
207,23,21,0,18,25,14,1
208,27,26,1,19,10,28,0
209,2,20,23,23,12,16,19
210,11,3,9,27,22,20,5
211,9,15,22,26,10,20,4
212,25,15,9,28,18,5,0
213,25,25,19,14,9,13,23
214,0,17,26,6,25,8,17
215,13,1,1,19,28,22,3
216,2,12,23,28,20,1,17
217,25,25,0,9,6,14,8
218,11,19,8,18,19,5,16
219,9,15,28,5,25,2,2
220,16,5,11,10,22,7,19
221,13,19,15,11,19,18,11
222,7,9,5,24,13,19,27
223,19,3,22,24,25,10,13
224,24,5,16,12,6,4,14
225,27,25,0,0,16,3,21
226,26,21,5,1,23,0,9
227,27,15,21,15,22,17,25
228,10,28,15,22,22,6,20
229,21,10,0,7,19,11,15
230,13,16,15,4,21,12,3
231,2,16,1,12,17,17,27
232,28,16,11,19,22,13,4
233,13,10,2,12,25,1,28
234,14,13,26,10,28,24,8
235,10,19,28,17,2,28,28
236,20,15,4,7,28,22,18
237,12,10,11,3,4,9,17
238,21,10,9,9,10,8,25
239,20,25,6,0,19,0,12
240,9,7,20,17,4,0,6
241,19,11,24,26,25,18,4
242,8,25,28,13,18,20,24
243,18,5,22,11,16,8,19
244,5,19,7,3,17,3,15
245,13,28,3,11,24,17,5
246,22,22,9,23,25,25,1
247,14,4,19,14,16,23,6
248,5,0,26,5,14,4,10
249,25,6,25,23,21,27,26
250,3,4,24,27,27,11,18
251,20,28,13,12,25,9,23
252,2,1,0,25,20,2,15
253,15,22,22,13,0,8,21
254,14,12,25,5,14,27,12
255,24,28,15,26,10,14,28
256,27,1,25,6,10,17,0
257,9,4,13,1,0,17,10
258,13,23,28,9,23,10,23
259,5,11,14,14,5,2,10
260,14,17,13,17,22,16,14
261,12,4,25,3,0,0,18
262,2,6,23,20,6,1,26
263,7,12,12,6,4,27,16
264,26,9,12,28,19,17,14
265,25,18,17,26,12,12,4
266,17,9,11,17,12,27,26
267,11,26,11,13,21,20,10
268,14,14,7,23,10,17,17
269,18,7,26,28,14,19,24
270,4,3,23,23,19,0,18
271,26,12,13,5,12,10,17
272,28,10,8,16,7,9,14
273,14,0,15,9,1,7,26
274,7,13,13,17,25,27,1
275,14,8,18,27,14,26,15
276,2,0,21,24,10,24,12
277,12,20,13,9,26,15,5
278,17,1,3,2,12,12,4
279,18,14,9,2,14,17,1
280,6,23,8,27,20,19,6
281,5,5,23,10,27,12,3
282,16,27,27,25,15,7,12
283,10,13,5,8,12,11,24
284,24,16,22,14,28,25,16
285,24,5,19,27,3,27,3
286,0,14,25,0,2,4,19
287,11,6,2,6,4,10,7
288,6,2,4,19,7,13,1
289,4,2,5,8,6,14,7
290,0,14,22,20,1,5,18
291,22,21,12,5,1,23,25
292,12,23,7,26,21,22,13
293,27,23,23,8,28,1,15
294,9,0,11,17,15,12,10
295,24,27,6,14,14,5,18
296,14,17,3,2,6,1,3
297,6,5,20,16,17,15,28
298,4,28,19,22,17,13,22
299,0,2,25,24,26,11,25
300,21,24,14,22,7,28,19
301,8,13,13,2,27,17,11
302,12,1,13,11,19,15,9
303,25,5,4,22,2,22,13
304,7,10,21,28,23,10,10
305,26,20,3,16,14,7,16
306,27,6,26,2,15,22,27
307,16,26,0,24,21,25,6
308,15,17,21,13,1,10,7
309,25,5,4,17,22,13,9
310,20,20,21,15,1,2,27
311,15,16,27,26,0,24,6
312,24,4,14,8,3,4,1
313,10,11,3,6,8,11,21
314,1,1,15,18,13,22,15
315,23,23,26,4,18,24,24
316,14,24,7,20,14,7,28
317,14,11,5,21,23,14,4
318,12,16,21,20,13,3,8
319,27,19,13,19,27,25,20
320,22,7,3,0,4,17,4
321,26,6,15,6,0,14,16
322,7,9,18,16,17,15,25
323,5,21,7,4,26,15,12
324,19,8,23,5,8,7,18
325,23,27,15,18,26,26,7
326,9,8,5,3,4,10,16
327,20,7,14,3,18,26,19
328,0,6,8,1,27,25,18
329,13,12,0,7,6,23,24
330,5,5,14,1,17,14,27
331,27,10,0,15,26,7,12
332,24,16,25,13,28,2,0
333,24,18,20,11,6,21,26
334,14,8,28,6,24,13,27
335,5,25,21,5,13,21,12
336,21,20,12,18,25,2,17
337,20,17,15,2,3,3,22
338,13,28,13,8,6,10,26
339,7,8,22,3,17,16,5
340,8,1,23,22,14,15,9
341,4,2,25,1,17,26,11
342,4,7,13,10,20,3,14
343,28,17,27,1,23,27,27
344,28,20,26,26,16,16,23
345,16,9,7,25,11,3,7
346,23,19,19,11,15,5,10
347,20,15,11,6,0,20,5
348,17,25,6,2,1,16,7
349,23,26,7,14,27,17,21
350,5,2,7,21,23,23,14
351,20,1,5,1,4,12,18
352,11,2,11,6,17,1,20
353,3,27,14,27,19,24,6
354,15,3,12,25,11,26,12
355,27,18,17,4,12,10,6
356,7,11,6,25,10,8,2
357,17,4,17,18,28,8,14
358,23,0,17,11,17,24,26
359,11,17,15,14,13,12,8
360,11,15,8,21,9,17,0
361,4,4,22,3,6,6,5
362,7,5,12,5,22,15,20
363,1,16,14,27,19,10,27
364,19,26,18,16,9,8,24
365,4,0,18,25,14,22,5
366,1,2,12,2,14,28,2
367,21,8,6,14,6,15,0
368,16,18,3,6,19,7,26
369,24,18,9,5,16,9,8
370,16,1,19,1,2,26,4
371,2,20,22,19,26,27,25
372,16,12,27,28,15,3,16
373,24,19,4,21,16,6,18
374,28,6,7,22,3,23,9
375,8,13,14,16,24,7,3
376,21,0,27,23,27,3,22
377,6,12,21,13,24,4,9
378,15,0,22,20,28,28,17
379,11,9,10,4,16,10,27
380,12,25,10,6,4,10,14
381,2,0,16,15,13,14,2
382,16,13,2,2,18,5,1
383,19,16,8,11,21,22,13
384,25,17,19,7,8,6,6
385,0,9,9,22,1,16,11
386,12,26,26,15,27,14,14
387,22,17,16,0,4,1,9
388,5,21,7,21,3,24,20
389,25,16,17,18,2,24,25
390,24,17,28,18,27,20,9
391,7,7,9,28,19,9,3
392,1,18,18,21,17,27,13
393,2,5,19,18,9,10,19
394,7,27,26,20,17,5,3
395,17,7,10,17,4,21,23
396,25,14,11,1,10,12,17
397,4,28,27,21,8,3,12
398,4,9,25,1,27,22,4
399,11,7,10,15,6,10,16
400,10,27,26,10,22,26,17
401,20,1,13,16,15,27,13
402,8,13,11,1,22,3,25
403,12,9,6,15,0,11,2
404,3,21,6,23,18,1,19
405,16,28,6,13,10,11,3
406,22,2,14,4,0,3,1
407,11,26,26,4,28,17,18
408,8,19,12,19,26,26,9
409,28,12,4,1,12,11,11
410,28,7,28,12,24,16,15
411,28,5,10,12,16,14,11
412,2,9,20,24,23,21,19
413,7,14,25,15,21,15,16
414,7,18,20,26,13,11,7
415,0,18,7,12,2,8,1
416,9,16,18,10,22,8,25
417,28,15,12,5,2,22,11
418,2,17,21,24,24,1,9
419,18,26,7,9,7,12,26
420,3,6,6,27,18,1,27
421,16,28,6,21,14,18,28
422,15,4,6,12,9,13,25
423,3,3,7,7,22,6,22
424,21,7,23,27,25,27,7
425,3,6,15,26,27,15,20
426,25,2,7,25,6,21,5
427,7,5,27,27,15,16,26
428,13,21,22,18,13,9,10
429,18,25,26,26,22,21,8
430,6,18,16,18,20,20,26
431,13,7,0,16,21,14,4
432,6,10,2,12,23,16,24
433,5,9,6,6,24,23,24
434,18,23,20,2,17,28,22
435,7,20,8,8,11,27,24
436,2,8,9,14,26,9,11
437,28,23,25,8,23,1,10
438,19,19,11,25,25,0,22
439,14,8,7,26,2,12,20
440,20,12,23,1,20,27,3
441,7,9,15,23,1,23,11
442,17,11,14,18,18,26,14
443,0,18,13,16,1,18,0
444,7,22,16,22,23,17,8
445,11,2,3,13,12,24,7
446,18,27,23,10,3,24,13
447,25,15,0,16,9,10,23
448,16,22,25,10,4,1,23
449,20,10,14,13,20,5,12
450,1,17,27,16,23,12,6
451,12,12,24,13,24,12,11
452,0,8,17,16,16,14,7
453,15,13,12,12,20,17,4
454,13,13,20,5,10,23,3
455,13,1,20,4,26,16,28
456,14,17,19,21,19,14,23
457,9,12,24,21,10,1,11
458,0,3,25,28,16,25,23
459,10,26,26,11,1,9,22
460,28,2,28,16,20,16,15
461,24,1,21,11,3,11,16
462,28,28,11,0,4,3,20
463,22,18,16,25,13,10,9
464,26,17,5,19,21,24,12
465,12,12,8,26,4,18,9
466,7,22,6,5,25,8,14
467,25,2,6,10,10,9,9
468,11,22,11,11,20,18,10
469,17,2,7,23,24,26,7
470,9,20,22,26,17,7,27
471,27,27,9,26,11,17,27
472,8,2,3,23,28,10,12
473,2,8,27,15,26,18,10
474,1,3,28,2,27,19,0
475,23,13,3,7,0,10,7
476,8,18,21,16,22,11,26
477,18,22,19,18,24,6,6
478,16,13,6,28,6,10,9
479,21,5,0,13,19,18,5
480,20,16,18,20,22,18,24
481,6,9,16,20,7,5,17
482,3,27,14,26,19,4,22
483,21,14,23,19,22,5,11
484,14,13,21,15,6,5,26
485,7,8,13,10,6,19,6
486,2,3,15,19,9,12,2
487,0,1,23,16,5,28,16
488,8,24,1,11,24,8,27
489,8,7,2,4,7,18,28
490,17,21,21,7,6,18,24
491,15,26,16,1,4,28,16
